t kinetic_energy max_velocity
0.0395 0.222098 0.944688
0.0396 0.222034 0.944583
0.0397 0.221969 0.944478
0.0398 0.221905 0.944373
0.0399 0.221841 0.944268
0.04 0.221777 0.944163
0.0401 0.221714 0.944058
0.0402 0.22165 0.943953
0.0403 0.221586 0.943848
0.0404 0.221522 0.943743
0.0405 0.221458 0.943638
0.0406 0.221394 0.943533
0.0407 0.22133 0.943428
0.0408 0.221267 0.943323
0.0409 0.221203 0.943218
0.041 0.221139 0.943114
0.0411 0.221076 0.943009
0.0412 0.221012 0.942904
0.0413 0.220948 0.942799
0.0414 0.220885 0.942695
0.0415 0.220821 0.94259
0.0416 0.220758 0.942485
0.0417 0.220694 0.94238
0.0418 0.220631 0.942276
0.0419 0.220567 0.942171
0.042 0.220504 0.942066
0.0421 0.220441 0.941962
0.0422 0.220377 0.941857
0.0423 0.220314 0.941753
0.0424 0.220251 0.941648
0.0425 0.220187 0.941543
0.0426 0.220124 0.941439
0.0427 0.220061 0.941334
0.0428 0.219998 0.94123
0.0429 0.219935 0.941125
0.043 0.219871 0.941021
0.0431 0.219808 0.940916
0.0432 0.219745 0.940812
0.0433 0.219682 0.940708
0.0434 0.219619 0.940603
0.0435 0.219556 0.940499
0.0436 0.219493 0.940394
0.0437 0.21943 0.94029
0.0438 0.219367 0.940186
0.0439 0.219305 0.940082
0.044 0.219242 0.939977
0.0441 0.219179 0.939873
0.0442 0.219116 0.939769
0.0443 0.219053 0.939664
0.0444 0.218991 0.93956
0.0445 0.218928 0.939456
0.0446 0.218865 0.939352
0.0447 0.218803 0.939248
0.0448 0.21874 0.939144
0.0449 0.218677 0.939039
0.045 0.218615 0.938935
0.0451 0.218552 0.938831
0.0452 0.21849 0.938727
0.0453 0.218427 0.938623
0.0454 0.218365 0.938519
0.0455 0.218302 0.938415
0.0456 0.21824 0.938311
0.0457 0.218177 0.938207
0.0458 0.218115 0.938103
0.0459 0.218053 0.937999
0.046 0.21799 0.937895
0.0461 0.217928 0.937791
0.0462 0.217866 0.937687
0.0463 0.217804 0.937583
0.0464 0.217742 0.93748
0.0465 0.217679 0.937376
0.0466 0.217617 0.937272
0.0467 0.217555 0.937168
0.0468 0.217493 0.937064
