t kinetic_energy max_velocity div_max
0.696 0.982789 1.29009 0
0.697 0.98552 1.29202 0
0.698 0.986852 1.29249 0
0.699 0.984016 1.29076 0
0.7 0.980475 1.28887 0
0.701 0.983405 1.29065 0
0.702 0.977212 1.28727 0
0.703 0.985496 1.29152 0
0.704 0.982829 1.29027 0
0.705 0.984703 1.29098 0
0.706 0.977222 1.28702 0
0.707 0.98427 1.2907 0
0.708 0.978791 1.28791 0
0.709 0.986194 1.29229 0
0.71 0.988144 1.2925 0
0.711 0.980582 1.2886 0
0.712 0.974547 1.28584 0
0.713 0.986766 1.29177 0
0.714 0.981772 1.28911 0
0.715 0.970896 1.28361 0
0.716 0.978191 1.28729 0
0.717 0.987829 1.2926 0
0.718 0.972501 1.28423 0
0.719 0.96816 1.28204 0
0.72 0.979308 1.28757 0
0.721 0.982226 1.28911 0
0.722 0.980367 1.2884 0
0.723 0.987707 1.29195 0
0.724 0.975848 1.28571 0
0.725 0.984077 1.29031 0
0.726 0.984898 1.29026 0
0.727 0.984736 1.29046 0
0.728 0.981659 1.28882 0
0.729 0.97949 1.28749 0
0.73 0.972424 1.28383 0
0.731 0.991561 1.29364 0
0.732 0.992949 1.29427 0
0.733 0.989192 1.29225 0
0.734 0.978821 1.28705 0
0.735 0.982932 1.28934 0
0.736 0.981839 1.28873 0
0.737 0.975041 1.2853 0
0.738 0.984011 1.28996 0
0.739 0.989057 1.29225 0
0.74 0.980639 1.28806 0
0.741 0.981288 1.28841 0
0.742 0.982839 1.28901 0
0.743 0.982953 1.28887 0
0.744 0.967402 1.281 0
0.745 0.980575 1.28752 0
0.746 0.982578 1.28874 0
0.747 0.985799 1.29017 0
0.748 0.98487 1.28955 0
0.749 0.981308 1.28784 0
0.75 0.968343 1.28123 0
0.751 0.990178 1.29227 0
0.752 0.996774 1.29595 0
0.753 0.982371 1.28814 0
0.754 0.981239 1.28765 0
0.755 0.983122 1.28869 0
0.756 0.98166 1.28819 0
0.757 0.989338 1.29223 0
0.758 0.98189 1.2883 0
0.759 0.983386 1.2891 0
0.76 0.987664 1.2912 0
0.761 0.990663 1.29264 0
0.762 0.987502 1.29046 0
0.763 0.981659 1.28759 0
